time,end,type,sc_id,source,orbit,description
2020-06-18/02:27:23,2020-06-18/02:29:53,burst_segment,mms,Burst,1119,MP crossing
2020-06-18/02:25:23,2020-06-18/02:27:33,burst_segment,mms,Burst,1119,Boundary crossing with deep B minimum
2020-06-18/02:24:23,2020-06-18/02:27:23,burst_segment,mms,Burst,1119,MP crossing
2020-06-18/02:19:43,2020-06-18/02:22:03,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/02:17:23,2020-06-18/02:19:43,burst_segment,mms,Burst,1119,Back-to-back boundary crossings with deep B minimum
2020-06-18/02:17:13,2020-06-18/02:19:43,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/02:14:53,2020-06-18/02:17:13,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/02:12:33,2020-06-18/02:14:53,burst_segment,mms,Burst,1119,Back-to-back boundary crossings with deep B minimum
2020-06-18/02:10:03,2020-06-18/02:12:33,burst_segment,mms,Burst,1119,Back-to-back boundary crossings with deep B minimum
2020-06-18/02:08:13,2020-06-18/02:10:03,burst_segment,mms,Burst,1119,Boundary crossing
2020-06-18/02:06:23,2020-06-18/02:08:13,burst_segment,mms,Burst,1119,Boundary crossing
2020-06-18/02:02:03,2020-06-18/02:04:43,burst_segment,mms,Burst,1119,Boundary crossing
2020-06-18/01:57:03,2020-06-18/01:59:33,burst_segment,mms,Burst,1119,Back-to-back boundary crossings
2020-06-18/01:54:33,2020-06-18/01:57:03,burst_segment,mms,Burst,1119,Back-to-back boundary crossings
2020-06-18/01:52:03,2020-06-18/01:54:33,burst_segment,mms,Burst,1119,Back-to-back boundary crossings
2020-06-18/01:49:33,2020-06-18/01:52:03,burst_segment,mms,Burst,1119,Back-to-back boundary crossings
2020-06-18/01:47:03,2020-06-18/01:49:33,burst_segment,mms,Burst,1119,Back-to-back boundary crossings
2020-06-18/01:44:33,2020-06-18/01:47:03,burst_segment,mms,Burst,1119,Back-to-back boundary crossings
2020-06-18/01:41:13,2020-06-18/01:43:23,burst_segment,mms,Burst,1119,Boundary crossing
2020-06-18/01:38:53,2020-06-18/01:41:13,burst_segment,mms,Burst,1119,Boundary crossing
2020-06-18/01:36:43,2020-06-18/01:38:53,burst_segment,mms,Burst,1119,Boundary crossing
2020-06-18/01:34:33,2020-06-18/01:36:43,burst_segment,mms,Burst,1119,Boundary crossing
2020-06-18/01:27:33,2020-06-18/01:30:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:25:03,2020-06-18/01:27:33,burst_segment,mms,Burst,1119,Strong KH waves
