times,n,Tpara,Tperp
1592431167.333917,1.1814905,426.6868,424.53632
1592429085.304281,1.0897552,492.4134,438.9752
1592434533.681726,2.7528467,190.13599,147.10757
1592434618.7329311,1.0073705,434.1997,440.222
1592427948.1380758,0.6609097,926.7647,741.9012
1592429701.663056,0.78137594,437.16565,526.14935
1592427324.129178,1.070046,431.73892,393.92017
1592426989.174397,1.026436,506.06912,420.15726
1592426581.918575,1.1477486,402.5885,434.53192
1592429439.159324,1.877525,131.12082,110.83299
1592433755.170687,1.2284007,457.56802,399.65222
1592432274.799654,4.4749904,133.373,82.240715
1592431344.936435,4.4706426,107.54615,66.191
1592430900.93012,1.5661498,133.35934,164.3829
1592431483.23841,1.3850025,312.42728,330.27588
1592428010.98896,0.67371553,934.31134,921.2454
1592427118.7762392,1.0915562,331.1157,282.01407
1592427222.877722,1.0354708,499.80188,344.09583
1592432388.951274,2.173369,194.07544,162.12146
1592429163.1553931,1.3891393,347.02005,266.48315
1592429860.96532,3.5529916,113.892715,80.97665
1592429594.411532,1.1060948,334.33417,431.23788
1592428478.545631,0.7100364,819.6022,813.0329
1592426931.72357,1.1159343,431.2325,461.7804
1592432403.351487,1.1752479,265.95914,247.94322
1592434319.178689,1.7309182,228.60258,245.88211
1592431158.3337889,1.1046488,366.2199,430.50143
1592428043.239431,0.6196814,960.8611,863.0409
1592434264.1279092,1.2842885,371.87286,259.80704
1592429103.9045389,1.0334318,475.8589,393.66742
1592432174.148232,1.0280057,402.37195,372.60425
1592429712.313206,1.0892556,331.55847,436.24298
1592430423.6233332,1.4405956,274.50607,220.18465
1592434660.8835268,0.8674644,473.57764,411.73682
1592431434.337714,1.6697644,233.2188,209.9796
1592432088.046997,0.92243415,339.4475,367.08093
1592425916.809081,1.023755,714.98505,606.741
1592429508.7603068,1.8539237,155.95346,155.79045
1592427987.438632,0.6872728,940.36926,840.7216
1592434496.631201,4.53799,141.60674,73.8751
1592429133.154965,1.1783483,348.58136,315.3559
1592431484.738425,1.3077246,302.23102,327.11383
1592432381.151175,1.2361052,239.7783,265.1353
1592427904.337437,0.8172259,654.60693,597.03503
1592432696.755649,1.2858119,370.08374,394.29706
1592434709.334222,1.0233757,482.58917,414.73087
1592428151.84097,0.77677584,906.0785,859.93646
1592427700.034526,0.8568591,420.43356,424.85205
1592430156.919533,1.8259317,258.27344,215.93591
1592431877.744011,1.5183084,260.8317,216.26189
1592425907.658952,1.1944692,576.6987,509.61298
1592430928.230518,2.554243,90.37874,111.41706
1592428888.801475,0.9589301,568.21484,507.34454
1592428925.852002,1.0298074,442.13525,486.80994
1592427337.629362,1.1293429,426.11835,396.25552
1592430865.6796212,3.9035954,127.48166,98.01465
1592430770.128271,1.2943983,307.66446,338.9701
1592432239.849157,4.751353,101.90687,76.54994
1592434365.079343,1.2179319,262.64645,298.55554
1592426908.473242,1.1065181,522.0475,492.19427
